CompanyNumber,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
13162561,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-27,45190 - Sale of other motor vehicles,45200 - Maintenance and repair of motor vehicles,,
13146114,LN2 2HG,Private Limited Company,Active,United Kingdom,NA,2021-01-20,43999 - Other specialised construction activities n.e.c.,,,
13117134,EC1V 2NX,Private Limited Company,Active,United Kingdom,NA,2021-01-06,86900 - Other human health activities,,,
13147522,LS1 2JT,Private Limited Company,Active,United Kingdom,NA,2021-01-20,68209 - Other letting and operating of own or leased real estate,,,
CE024535,,Charitable Incorporated Organisation,Active,United Kingdom,NA,2021-01-07,None Supplied,,,
13131196,CV23 0SU,Private Limited Company,Active,United Kingdom,NA,2021-01-13,77320 - Renting and leasing of construction and civil engineering machinery and equipment,,,
13130693,HD2 1RD,Private Limited Company,Active,United Kingdom,NA,2021-01-13,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,,
13133229,IG10 2QZ,Private Limited Company,Active,United Kingdom,NA,2021-01-14,96090 - Other service activities n.e.c.,,,
13168712,M1 2JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-30,53201 - Licensed carriers,53202 - Unlicensed carrier,,
13126295,N1 7SR,Private Limited Company,Active,United Kingdom,NA,2021-01-11,47910 - Retail sale via mail order houses or via Internet,,,
13142903,BN21 3TZ,Private Limited Company,Active,United Kingdom,NA,2021-01-19,62012 - Business and domestic software development,62020 - Information technology consultancy activities,,
13113674,SE18 4DU,Private Limited Company,Active,United Kingdom,NA,2021-01-05,56103 - Take-away food shops and mobile food stands,,,
13123673,N1 7GU,Private Limited Company,Active,United Kingdom,NA,2021-01-11,62020 - Information technology consultancy activities,,,
13142788,HA8 7DB,Private Limited Company,Active,United Kingdom,NA,2021-01-19,64209 - Activities of other holding companies n.e.c.,,,
13126172,CR90 9UQ,Private Limited Company,Active,United Kingdom,NA,2021-01-11,70229 - Management consultancy activities other than financial management,,,
13120450,BH16 6FA,Private Limited Company,Active,United Kingdom,NA,2021-01-07,47910 - Retail sale via mail order houses or via Internet,"47990 - Other retail sale not in stores, stalls or markets",,
13123060,WR8 0NJ,Private Limited Company,Active - Proposal to Strike off,United Kingdom,NA,2021-01-08,45200 - Maintenance and repair of motor vehicles,,,
13167579,OX4 3RZ,Private Limited Company,Active,United Kingdom,NA,2021-01-29,47910 - Retail sale via mail order houses or via Internet,,,
13163349,N3 1LP,Private Limited Company,Active,United Kingdom,NA,2021-01-27,68100 - Buying and selling of own real estate,,,
CE024665,,Charitable Incorporated Organisation,Active,United Kingdom,NA,2021-01-22,None Supplied,,,
13130869,SL9 7NU,Private Limited Company,Active,United Kingdom,NA,2021-01-13,47910 - Retail sale via mail order houses or via Internet,,,
13127128,WC2H 9JQ,Private Limited Company,Active,United Kingdom,NA,2021-01-12,"47990 - Other retail sale not in stores, stalls or markets",,,
13167833,L9 4RE,Private Limited Company,Active,United Kingdom,NA,2021-01-29,47190 - Other retail sale in non-specialised stores,,,
13131109,S5 7WD,Private Limited Company,Active,United Kingdom,NA,2021-01-13,86900 - Other human health activities,,,
13154594,N4 3RU,Private Limited Company,Active,United Kingdom,NA,2021-01-25,47781 - Retail sale in commercial art galleries,,,
13159244,E1 6RL,Private Limited Company,Active,United Kingdom,NA,2021-01-26,56103 - Take-away food shops and mobile food stands,,,
13134060,TW3 1YH,Private Limited Company,Active,United Kingdom,NA,2021-01-14,73110 - Advertising agencies,,,
13153976,BH2 5EF,Private Limited Company,Active,United Kingdom,NA,2021-01-25,70229 - Management consultancy activities other than financial management,,,
13162156,SE13 7BU,Private Limited Company,Active,United Kingdom,NA,2021-01-27,47910 - Retail sale via mail order houses or via Internet,,,
13157171,E11 3NL,Private Limited Company,Active,United Kingdom,NA,2021-01-25,49410 - Freight transport by road,,,
13135223,B28 0BX,Private Limited Company,Active,United Kingdom,NA,2021-01-14,69102 - Solicitors,,,
